trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'e': 0.17906614791149322, 'a': 0.01}",20,12,-29.79971983899696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'e': 0.17728440996987782, 'a': 0.01}",20,8,-6.757524981919936,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
175,False,"{'e': 0.17552040061699686, 'a': 0.01}",20,7,23.760458539318666,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'e': 0.17377394345044514, 'a': 0.01}",25,19,10.49376485557427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'e': 0.17204486382305054, 'a': 0.01}",20,15,8.86005811548995,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'e': 0.17033298882540943, 'a': 0.01}",20,0,8.172935704235405,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
179,False,"{'e': 0.1686381472685955, 'a': 0.01}",20,14,-29.597800552894522,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'e': 0.1669601696670407, 'a': 0.01}",25,17,11.909712317060777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'e': 0.16529888822158653, 'a': 0.01}",20,0,28.916303721932152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'e': 0.16365413680270405, 'a': 0.01}",20,3,-24.20719016404412,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
